Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4700uf,CP_Radial_D16.0mm_P7.50mm,134.62,-92.927245,90,top
C2,4700uf,CP_Radial_D16.0mm_P7.50mm,152.4,-92.927245,90,top
C3,4700uf,CP_Radial_D16.0mm_P7.50mm,134.62,-110.112754,-90,top
C4,4700uF,CP_Radial_D16.0mm_P7.50mm,152.4,-110.112754,-90,top
C5,2000uF,CP_Radial_D10.0mm_P5.00mm,167.64,-109.047677,-90,top
C6,2000uF,CP_Radial_D10.0mm_P5.00mm,167.64,-94.072323,90,top
C7,1uF,CP_EIA-3528-21_Kemet-B,179.371029,-111.440202,-90,top
C8,1uF,CP_EIA-3528-21_Kemet-B,190.641402,-111.305067,-90,top
C9,1uF,CP_EIA-3528-21_Kemet-B,179.291379,-90.317481,90,top
C10,1uF,CP_EIA-3528-21_Kemet-B,190.641402,-90.293318,-90,top
D1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,184.870721,-101.52,180,top
D2,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,121.92,-93.9,-90,top
D3,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,121.92,-111.68,-90,top
LM7812,L7812,TO-220F-3_Vertical,184.725,-91.26977,90,top
U2,L7912,TO-220F-3_Vertical,184.795373,-112.130025,-90,top
